Exact_Brandes_NetworkX,mol_yeast_spliceosome_snap.txt,0.09766077995300293,NetworkX_Results/07-12-2023_networkx_exact.json,
Approximation_Brandes_NetworkX_40_6,mol_yeast_spliceosome_snap.txt,0.039978742599487305,NetworkX_Results/07-12-2023_networkx_approximation_40_6.json,0.0007810373696738149,0.001964521318518947
Approximation_Brandes_NetworkX_40_7,mol_yeast_spliceosome_snap.txt,0.03949618339538574,NetworkX_Results/07-12-2023_networkx_approximation_40_7.json,0.0008107581878833099,0.0017698672423207351
Approximation_Brandes_NetworkX_40_8,mol_yeast_spliceosome_snap.txt,0.0375821590423584,NetworkX_Results/07-12-2023_networkx_approximation_40_8.json,0.0007945196646905546,0.0016259680363453172
Approximation_Brandes_NetworkX_40_9,mol_yeast_spliceosome_snap.txt,0.03731060028076172,NetworkX_Results/07-12-2023_networkx_approximation_40_9.json,0.0008171189691559636,0.0017556004915831433
Approximation_Brandes_NetworkX_60_0,mol_yeast_spliceosome_snap.txt,0.05668520927429199,NetworkX_Results/07-12-2023_networkx_approximation_60_0.json,0.0004388881952157462,0.0009197257191520741
Approximation_Brandes_NetworkX_60_1,mol_yeast_spliceosome_snap.txt,0.05786275863647461,NetworkX_Results/07-12-2023_networkx_approximation_60_1.json,0.0006343680330750351,0.001339220177160408
Approximation_Brandes_NetworkX_60_2,mol_yeast_spliceosome_snap.txt,0.059853553771972656,NetworkX_Results/07-12-2023_networkx_approximation_60_2.json,0.0004452700829803538,0.0010758553141273042
Approximation_Brandes_NetworkX_60_3,mol_yeast_spliceosome_snap.txt,0.057582855224609375,NetworkX_Results/07-12-2023_networkx_approximation_60_3.json,0.0005629266716463644,0.0012833452594917766
Approximation_Brandes_NetworkX_60_4,mol_yeast_spliceosome_snap.txt,0.05606651306152344,NetworkX_Results/07-12-2023_networkx_approximation_60_4.json,0.0004762518622052809,0.0009639581351460097
Approximation_Brandes_NetworkX_60_5,mol_yeast_spliceosome_snap.txt,0.05866551399230957,NetworkX_Results/07-12-2023_networkx_approximation_60_5.json,0.0005372099390925353,0.0012769683487961064
Approximation_Brandes_NetworkX_60_6,mol_yeast_spliceosome_snap.txt,0.05656313896179199,NetworkX_Results/07-12-2023_networkx_approximation_60_6.json,0.0004852868800101186,0.0010505126831332015
Approximation_Brandes_NetworkX_60_7,mol_yeast_spliceosome_snap.txt,0.05867743492126465,NetworkX_Results/07-12-2023_networkx_approximation_60_7.json,0.0005483402960596536,0.001142677600113922
Approximation_Brandes_NetworkX_60_8,mol_yeast_spliceosome_snap.txt,0.05508232116699219,NetworkX_Results/07-12-2023_networkx_approximation_60_8.json,0.0005819715908884486,0.001266994941641178
Approximation_Brandes_NetworkX_60_9,mol_yeast_spliceosome_snap.txt,0.05767560005187988,NetworkX_Results/07-12-2023_networkx_approximation_60_9.json,0.0005069619451008425,0.0011631859680138125
Approximation_Brandes_NetworkX_80_0,mol_yeast_spliceosome_snap.txt,0.07594442367553711,NetworkX_Results/07-12-2023_networkx_approximation_80_0.json,0.0003335569959530673,0.0008588066273860059
Approximation_Brandes_NetworkX_80_1,mol_yeast_spliceosome_snap.txt,0.07742547988891602,NetworkX_Results/07-12-2023_networkx_approximation_80_1.json,0.00034922049273710624,0.0006546729642436205
Approximation_Brandes_NetworkX_80_2,mol_yeast_spliceosome_snap.txt,0.07635331153869629,NetworkX_Results/07-12-2023_networkx_approximation_80_2.json,0.000343840152217234,0.0005775457068737037
Approximation_Brandes_NetworkX_80_3,mol_yeast_spliceosome_snap.txt,0.0883646011352539,NetworkX_Results/07-12-2023_networkx_approximation_80_3.json,0.00036868676703074644,0.0010226809135370357
Approximation_Brandes_NetworkX_80_4,mol_yeast_spliceosome_snap.txt,0.0917215347290039,NetworkX_Results/07-12-2023_networkx_approximation_80_4.json,0.0003467945669171434,0.0005709891612653439
Approximation_Brandes_NetworkX_80_5,mol_yeast_spliceosome_snap.txt,0.09795141220092773,NetworkX_Results/07-12-2023_networkx_approximation_80_5.json,0.00025953953928542695,0.0004228849586269373
Approximation_Brandes_NetworkX_80_6,mol_yeast_spliceosome_snap.txt,0.10408592224121094,NetworkX_Results/07-12-2023_networkx_approximation_80_6.json,0.0002461984710759561,0.0004462772614152259
Approximation_Brandes_NetworkX_80_7,mol_yeast_spliceosome_snap.txt,0.10946059226989746,NetworkX_Results/07-12-2023_networkx_approximation_80_7.json,0.00037762119667013354,0.000836897827720023
Approximation_Brandes_NetworkX_80_8,mol_yeast_spliceosome_snap.txt,0.10320520401000977,NetworkX_Results/07-12-2023_networkx_approximation_80_8.json,0.0002485006574830051,0.00045214812886646105
Approximation_Brandes_NetworkX_80_9,mol_yeast_spliceosome_snap.txt,0.09309530258178711,NetworkX_Results/07-12-2023_networkx_approximation_80_9.json,0.00029158969413589387,0.0005730905373387274
